tipo,nome,tabela,definicao
CONSTRAINT,collaborators_pkey,collaborators,PRIMARY KEY (id)
CONSTRAINT,folders_created_by_fkey,folders,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,folders_parent_id_fkey,folders,FOREIGN KEY (parent_id) REFERENCES folders(id) ON DELETE CASCADE
CONSTRAINT,folders_pkey,folders,PRIMARY KEY (id)
CONSTRAINT,instructors_pkey,instructors,PRIMARY KEY (id)
CONSTRAINT,materials_created_by_fkey,materials,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,materials_folder_id_fkey,materials,FOREIGN KEY (folder_id) REFERENCES folders(id) ON DELETE CASCADE
CONSTRAINT,materials_pkey,materials,PRIMARY KEY (id)
CONSTRAINT,quiz_attempts_pkey,quiz_attempts,PRIMARY KEY (id)
CONSTRAINT,quiz_attempts_training_id_fkey,quiz_attempts,FOREIGN KEY (training_id) REFERENCES trainings(id) ON DELETE CASCADE
CONSTRAINT,quiz_questions_correct_option_check,quiz_questions,"CHECK ((correct_option = ANY (ARRAY['a'::text, 'b'::text, 'c'::text, 'd'::text])))"
CONSTRAINT,quiz_questions_pkey,quiz_questions,PRIMARY KEY (id)
CONSTRAINT,quiz_questions_training_id_fkey,quiz_questions,FOREIGN KEY (training_id) REFERENCES trainings(id) ON DELETE CASCADE
CONSTRAINT,schedule_audit_log_pkey,schedule_audit_log,PRIMARY KEY (id)
CONSTRAINT,soc_micro_trainings_pkey,soc_micro_trainings,PRIMARY KEY (id)
CONSTRAINT,socs_name_key,socs,UNIQUE (name)
CONSTRAINT,socs_pkey,socs,PRIMARY KEY (id)
CONSTRAINT,sync_locks_pkey,sync_locks,PRIMARY KEY (id)
CONSTRAINT,training_folders_parent_id_fkey,training_folders,FOREIGN KEY (parent_id) REFERENCES training_folders(id)
CONSTRAINT,training_folders_pkey,training_folders,PRIMARY KEY (id)
CONSTRAINT,training_schedule_enrollments_enrolled_by_fkey,training_schedule_enrollments,FOREIGN KEY (enrolled_by) REFERENCES auth.users(id)
CONSTRAINT,training_schedule_enrollments_pkey,training_schedule_enrollments,PRIMARY KEY (id)
CONSTRAINT,training_schedule_enrollments_schedule_id_collaborator_id_s_key,training_schedule_enrollments,"UNIQUE (schedule_id, collaborator_id, scheduled_date)"
CONSTRAINT,training_schedule_enrollments_schedule_id_fkey,training_schedule_enrollments,FOREIGN KEY (schedule_id) REFERENCES training_schedules(id) ON DELETE CASCADE
CONSTRAINT,training_schedules_pkey,training_schedules,PRIMARY KEY (id)
CONSTRAINT,training_scheduling_request_collaborators_pkey,training_scheduling_request_collaborators,PRIMARY KEY (id)
CONSTRAINT,training_scheduling_request_collaborators_request_id_fkey,training_scheduling_request_collaborators,FOREIGN KEY (request_id) REFERENCES training_scheduling_requests(id) ON DELETE CASCADE
CONSTRAINT,training_scheduling_requests_pkey,training_scheduling_requests,PRIMARY KEY (id)
CONSTRAINT,training_scheduling_requests_requested_by_fkey,training_scheduling_requests,FOREIGN KEY (requested_by) REFERENCES auth.users(id) ON DELETE SET NULL
CONSTRAINT,trainings_folder_id_fkey,trainings,FOREIGN KEY (folder_id) REFERENCES training_folders(id) ON DELETE SET NULL
CONSTRAINT,trainings_pkey,trainings,PRIMARY KEY (id)
CONSTRAINT,trainings_completed_collaborator_id_fkey,trainings_completed,FOREIGN KEY (collaborator_id) REFERENCES collaborators(id) ON DELETE SET NULL
CONSTRAINT,trainings_completed_pkey,trainings_completed,PRIMARY KEY (id)
CONSTRAINT,trainings_completed_registered_by_fkey,trainings_completed,FOREIGN KEY (registered_by) REFERENCES auth.users(id)
CONSTRAINT,units_name_key,units,UNIQUE (name)
CONSTRAINT,units_pkey,units,PRIMARY KEY (id)
CONSTRAINT,users_profiles_id_fkey,users_profiles,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
CONSTRAINT,users_profiles_pkey,users_profiles,PRIMARY KEY (id)
CONSTRAINT,users_profiles_role_check,users_profiles,"CHECK ((lower(TRIM(BOTH FROM role)) = ANY (ARRAY['master'::text, 'admin'::text, 'user'::text, 'lider'::text, 'bpo'::text, 'pcp'::text])))"
INDICE,collaborators_pkey,collaborators,CREATE UNIQUE INDEX collaborators_pkey ON public.collaborators USING btree (id)
INDICE,idx_collaborators_name,collaborators,CREATE INDEX idx_collaborators_name ON public.collaborators USING btree (name)
INDICE,idx_collaborators_name_soc_unique,collaborators,"CREATE UNIQUE INDEX idx_collaborators_name_soc_unique ON public.collaborators USING btree (name, soc)"
INDICE,idx_collaborators_opsid,collaborators,CREATE INDEX idx_collaborators_opsid ON public.collaborators USING btree (opsid)
