tipo,nome,tabela,definicao
POLITICA,Admin deleta colaborador de solicitacao,training_scheduling_request_collaborators,"roles=authenticated | comando=DELETE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text)))) | with_check=—"
POLITICA,Admin deleta solicitacao,training_scheduling_requests,"roles=authenticated | comando=DELETE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text)))) | with_check=—"
POLITICA,Admin e PTS editam colaboradores da solicitacao,training_scheduling_request_collaborators,"roles=authenticated | comando=UPDATE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'pts'::text]))))) | with_check=—"
POLITICA,Admin e PTS editam solicitacoes,training_scheduling_requests,"roles=authenticated | comando=UPDATE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'pts'::text]))))) | with_check=—"
POLITICA,Admin lider e pcp atualizam inscricoes,training_schedule_enrollments,"roles=authenticated | comando=UPDATE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text]))))) | with_check=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text])))))"
POLITICA,Admin lider e pcp inscrevem colaboradores,training_schedule_enrollments,"roles=authenticated | comando=INSERT | using=— | with_check=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text])))))"
POLITICA,Admin lider e pcp removem inscricoes,training_schedule_enrollments,"roles=authenticated | comando=DELETE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text]))))) | with_check=—"
POLITICA,Admin lider pcp podem inserir audit log,schedule_audit_log,"roles=authenticated | comando=INSERT | using=— | with_check=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text])))))"
POLITICA,Admin pode deletar audit log,schedule_audit_log,"roles=authenticated | comando=DELETE | using=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = 'admin'::text)))) | with_check=—"
POLITICA,"Admin, lider e pcp criam solicitacoes",training_scheduling_requests,"roles=authenticated | comando=INSERT | using=— | with_check=(EXISTS ( SELECT 1
   FROM users_profiles
  WHERE ((users_profiles.id = auth.uid()) AND (users_profiles.role = ANY (ARRAY['admin'::text, 'lider'::text, 'pcp'::text])))))"
POLITICA,Admins gerenciam SOCs,socs,roles=authenticated | comando=ALL | using=true | with_check=true
POLITICA,Agenda visível para todos autenticados,training_schedules,roles=authenticated | comando=SELECT | using=true | with_check=—
POLITICA,Authenticated can manage collaborators,collaborators,roles=authenticated | comando=ALL | using=true | with_check=true
POLITICA,Authenticated can manage trainings,trainings_completed,roles=authenticated | comando=ALL | using=true | with_check=true
